Bmr026-c1_0000040_0000140,yeah .,yeah .,z,z
Bmr026-c3_1363550_1363900,uhhuh .,mm-hmm .,b.%,b.%
Bmr026-c1_1364290_1364840,i mean the ==,i mean the ==,%--,%--
Bmr026-c1_1364910_1376350,um - | u- ==,um - | u- ==,fh|%-,fh|%-
Bmr026-c3_1365960_1367180,and we don't have to do it every week .,and we don't have to do it every week .,s^cs,s^cs
Bmr026-c5_1366080_1366740,could we ?==,could we ?==,qy.%-,qy.%-
Bmr026-c3_1367180_1368380,we could do it every other week or so .,we could do it every other week or so .,s^cs,s^cs
Bmr026-c5_1368220_1368710,right | i was ==,right | i was ==,s^aa|%-,s^aa|%-
Bmr026-c3_1368380_1370110,you know whatev- - or whenever we feel like we ==,you know whatev- - or whenever we feel like we ==,s.%-,s.%-
Bmr026-c5_1369710_1372310,why don't we alternate this meeting every other week ?,why don't we alternate this meeting every other week ?,qw^cs^rt,qw^cs^rt
Bmr026-c0_1374180_1375460,or just alternate the focus .,or just alternate the focus .,s^2^cs^ng,s^2^cs^ng
Bmr026-c5_1375890_1376470,tha- - that's what i mean .,tha- - that's what i mean .,s,s
Bmr026-c0_1376620_1380250,yeah so on even weeks have basic - on data .,yeah so on even weeks have basic - on data .,s^e,s^e
Bmr026-c1_1376920_1377250,yeah .,yeah .,s^aa,s^aa
Bmr026-c3_1378020_1378890,we could do that yeah .,we could do that yeah .,s^na,s^na
Bmr026-c5_1378830_1379060,yeah .,yeah .,b,b
Bmr026-c3_1379910_1382810,i - i - personally i'd - i'm not in favor of more meetings .,i - i - personally i'd - i'm not in favor of more meetings .,s,s
Bmr026-c3_1383000_1384870,um - | because uh ==,um - | because uh ==,fh|s.%-,fh|s.%-
Bmr026-c1_1383780_1384120,right .,right .,b,b
Bmr026-c3_1385090_1385390,you know ==,you know ==,%-,%-
Bmr026-c0_1385170_1385500,i am .,i am .,s^j^nd,s^j^nd
Bmr026-c0_1385810_1386480,oh sor- ==,oh sor- ==,s^fa.%-,s^fa.%-
Bmr026-c5_1386200_1391170,but i do- - i don't - i mean a lot of times lately it seems like we don't really have enough for a full meeting on meeting recorder .,but i do- - i don't - i mean a lot of times lately it seems like we don't really have enough for a full meeting on meeting recorder .,s,s
Bmr026-c3_1391320_1391560,right .,right .,b,b
Bmr026-c5_1391660_1392410,so if we did that ==,so if we did that ==,s.%-,s.%-
Bmr026-c0_1391830_1394320,well except that we keep going for our full time .,well except that we keep going for our full time .,s,s
Bmr026-c2_1394110_1394300,yep .,yep .,b,b
Bmr026-c5_1394240_1396000,well | because we get into these other topics .,well | cuz we get into these other topics .,fg|s^ng,fg|s^ng
Bmr026-c4_1395510_1395730,yeah .,yeah .,b,b
Bmr026-c3_1395600_1397710,we feel - we feel obligated to collect more data .,we feel - we feel obligated to collect more data .,s,s
Bmr026-c0_1395800_1396020,yeah .,yeah .,b,b
Bmr026-c5_1397860_1397970,yeah .,yeah .,x,x
Bmr026-c0_1398040_1398120,ugh .,ugh .,x,x
Bmr026-c5_1398830_1401090,so if we could alternate the focus of the meeting ==,so if we could alternate the focus of the meeting ==,s^cs.%-,s^cs.%-
Bmr026-c0_1399180_1399540,i don't .,i don't .,s^ar,s^ar
Bmr026-c0_1399540_1400560,let's read digits and go .,let's read digits and go .,s^co^t1,s^co^t1
Bmr026-c1_1401530_1402720,why don't we just start with that ?,why don't we just start with that ?,qw^cs,qw^cs
Bmr026-c1_1402850_1409480,and then if we find you know we're just not getting enough done there's all these topics not coming up then we can expand into another meeting .,and then if we find you know we're just not getting enough done there's all these topics not coming up then we can expand into another meeting .,s^cs,s^cs
Bmr026-c3_1404500_1405170,umm - okay .,<ummh> ummh - o_k .,s^bk,s^bk
Bmr026-c3_1407340_1407840,uhhuh .,mm-hmm .,b,b
Bmr026-c1_1409480_1411080,but i - i think that's a great idea .,but i - i think that's a great idea .,s^ba,s^ba
Bmr026-c1_1411630_1420290,uh - so uh - um - | let's chat about it with liz and jane when we get a chance see what they think and ==,uh - so uh - um - | let's chat about it with liz and jane when we get a chance see what they think and ==,fh|s^cs.%--,fh|s^cs.%--
Bmr026-c3_1418840_1419350,uhhuh .,mm-hmm .,b.%,b.%
Bmr026-c5_1420120_1420670,yeah | that would be good .,yeah | that would be good .,fg|s,fg|s
Bmr026-c5_1420670_1423720,i mean andreas and i have various talks in the halls .,i mean andreas and i have various talks in the halls .,s,s
Bmr026-c5_1423720_1430400,and there's lots of things you know details and stuff that would i think people would be interested in .,and there's lots of things you know details and stuff that would i think people'd be interested in .,s,s
Bmr026-c3_1423960_1425050,uhhuh .,mm-hmm .,b,b
Bmr026-c5_1430400_1432700,and i'd - you know where do we go from here kind of things and ==,and i'd - you know where do we go from here kind of things and ==,s.%--,s.%--
Bmr026-c5_1433700_1434430,so it would be good .,so it would be good .,s^r^rt,s^r^rt
Bmr026-c1_1435580_1442200,yeah and you're - you're attending the uh - the front end meeting as well as the others so you have - you have probably one of the best ==,yeah and you're - you're attending the uh - the front-end meeting as well as the others so you have - you have probably one of the best ==,s.%--,s.%--
Bmr026-c1_1442490_1447130,you and i i guess are the main ones who sort of see the bridge between the two .,you and i i guess are the main ones who sort of see the bridge between the two .,s,s
Bmr026-c0_1445230_1445610,bridge .,bridge .,s^2,s^2
Bmr026-c3_1445460_1445850,uhhuh .,mm-hmm .,b,b
Bmr026-c1_1447130_1448840,we are doing recognition in both of them .,we are doing recognition in both of them .,s,s
Bmr026-c1_1448900_1449060,so ==,so ==,fh,fh
Bmr026-c5_1449230_1449790,uhhuh .,mm-hmm .,b,b
Bmr026-c3_1449730_1449870,right .,right .,b,b
Bmr026-c1_1450870_1451160,uh ==,uh ==,fh,fh
Bmr026-c3_1452150_1452740,so um ==,so um ==,fg,fg
Bmr026-c0_1452250_1452480,okay .,o_k .,b,b
Bmr026-c3_1453780_1457200,so - so we could talk a little bit about that now if - if there's some time .,so - so we could talk a little bit about that now if - if there's some time .,s^cs^tc,s^cs^tc
Bmr026-c0_1456790_1458270,no no that would be for next week .,no no that would be for next week .,s^ar,s^ar
Bmr026-c3_1460200_1463670,um - i jus- - so the latest result was that um ==,um - i jus- - so the latest result was that um ==,s.%--,s.%--
Bmr026-c3_1464770_1478670,um - | yot i tested the uh - the sort of final version of the p l p configuration um - on development test data for - for this year's hub five test set .,um - | yot i tested the uh - the sort of final version of the p_l_p configuration um - on development test data for - for this year's hub-five test set .,fh|s,fh|s
Bmr026-c1_1478320_1478850,uhhuh .,mm-hmm .,b,b
Bmr026-c3_1479430_1491080,and the recognition performance was exactly and i mean exactly up to the - you know the first decimal same as with the uh - mel cepstra front end .,and the recognition performance was exactly and i mean exactly up to the - you know the first decimal same as with the uh - mel cepstra front-end .,s,s
Bmr026-c0_1490640_1490740,huh .,mmm .,b.%,b.%
Bmr026-c5_1491430_1492600,for both females and males ?,for both females and males ?,qy^bu^rt,qy^bu^rt
Bmr026-c3_1492970_1493270,yes .,yes .,s^aa,s^aa
Bmr026-c5_1493700_1493960,oh !,oh !,s^bk^fe,s^bk^fe
Bmr026-c3_1494070_1495940,uh - well i- - there was a little bit of a ==,uh - well i- - there was a little bit of a ==,s^bd.%--,s^bd.%--
Bmr026-c3_1498110_1498700,i- - overall .,i- - overall .,s,s
Bmr026-c3_1498870_1503790,they - they were - the males i think were slightly better and the females were slightly worse but nothing really .,they - they were - the males i think were slightly better and the females were slightly worse but nothing really .,s,s
Bmr026-c5_1499160_1499710,uhhuh .,mm-hmm .,b,b
Bmr026-c3_1503790_1505090,i mean definitely not significant .,i mean definitely not significant .,s,s
Bmr026-c1_1504020_1504320,uhhuh .,mm-hmm .,b.%,b.%
Bmr026-c5_1504440_1505080,uhhuh .,mm-hmm .,b.%,b.%
Bmr026-c3_1505850_1511740,and then the really nice thing was that if - if we combine the two systems we get a one and a half per cent improvement .,and then the really nice thing was that if - if we combine the two systems we get a one and a half percent improvement .,s,s
Bmr026-c0_1511450_1511700,wow .,wow .,b,b
Bmr026-c3_1512360_1512790,so ==,so ==,%-,%-
Bmr026-c0_1512790_1513460,just with rover ?,just with rover ?,qy^bu^rt,qy^bu^rt
Bmr026-c3_1514240_1514380,t- - t- ==,t- - {t-} ==,%-,%-
Bmr026-c3_1514380_1518600,with n best rover which is like our new and improved version of rover .,with n_best rover which is like our new and improved version of rover .,s,s
Bmr026-c0_1518200_1518440,uhhuh .,mm-hmm .,s^bk,s^bk
Bmr026-c3_1518790_1524250,which u- - actually uses the whole n best list from both systems to uh - c- - combine that .,which u- - actually uses the whole n_best list from both systems to <mmm> uh - c- - combine that .,s,s
Bmr026-c1_1524810_1533570,so except - i mean the only key difference between the two really is the kind of smoothing at the end which is the auto regressive versus the cepstral truncation .,so except - i mean the only key difference between the two really is the kind of smoothing at the end which is the auto-regressive versus the cepstral truncation .,s,s
Bmr026-c3_1531970_1532290,yeah .,yeah .,b,b
Bmr026-c1_1533980_1534500,okay .,o_k .,b,b
Bmr026-c3_1534150_1535470,and the ==,and the ==,%-,%-
Bmr026-c5_1535080_1535910,but a per cent and a half .,but a percent and a half .,s^rt,s^rt
Bmr026-c5_1535910_1536310,that's ==,that's ==,%-,%-
Bmr026-c0_1536150_1537820,yeah it's pretty impressive .,yeah it's pretty impressive .,s^ba,s^ba
Bmr026-c3_1536960_1545560,and - and so uh - after i told the - my uh - colleagues at s r i about that you know now they definitely want to you know uh - have a ==,and - and so uh - after i told the - my uh - colleagues at s_r_i about that you know now they definitely want to you know uh - have a ==,s.%--,s.%--
Bmr026-c3_1545560_1551070,next time we have an evaluation they want to do uh - you know basically a- - at least the system combination .,next time we have an evaluation they want to do uh - you know basically a- - at least the system combination .,s,s
Bmr026-c3_1551730_1553900,um - | and you know why not ?,um - | and you know why not ?,fh|qh,fh|qh
Bmr026-c1_1554350_1554900,sure | why not ?,sure | why not ?,s^aa|qh^m,s^aa|qh^m
Bmr026-c3_1554590_1556380,uh - so ==,uh - so ==,fh,fh
Bmr026-c0_1555900_1557770,we clearly got to add a few more features though .,we clearly gotta add a few more features though .,s^cs,s^cs
Bmr026-c3_1559590_1560690,uh - | w- - what do you mean ?,uh - | w- - what do you mean ?,h|qw^bu,h|qw^bu
Bmr026-c3_1560690_1564920,more features in the sense of front end features or in the sense of just bells and whistles ?,more features in the sense of front-end features or in the sense of just bells and whistles ?,qr,qr
Bmr026-c0_1564920_1566480,no uh - front end features .,no uh - front-end features .,s,s
Bmr026-c0_1566860_1569670,you know we did p l p and mel cepstra .,you know we did p_l_p and mel cepstra .,s,s
Bmr026-c0_1569670_1572560,let's you know try rasta and m s g and ==,let's you know try rasta and m_s_g and ==,s.%--,s.%--
Bmr026-c3_1570360_1570870,oh i mean ==,oh i mean ==,s.%-,s.%-
Bmr026-c3_1570870_1571340,yeah .,yeah .,b,b
Bmr026-c3_1571340_1571740,well ==,well ==,fg,fg
Bmr026-c3_1572500_1572800,right .,right .,b,b
Bmr026-c3_1572800_1573590,so we cou- ==,so we cou- ==,s.%--,s.%--
Bmr026-c3_1573590_1573870,yeah .,yeah .,b,b
Bmr026-c3_1574070_1575540,that's - the - the - the ==,that's - the - the - the ==,s.%--,s.%--
Bmr026-c3_1575730_1580170,there's one thing uh - i mean you don't want to overdo it because y- - every front end ==,there's one thing uh - i mean you don't want to overdo it because y- - every front-end ==,s.%--,s.%--
Bmr026-c3_1580340_1586130,you know if you - you know you basically multiply your effort by n where n is a number of different systems .,you know if you - you know you basically multiply your effort by n_ where n_ is a number of different systems .,s,s
Bmr026-c5_1580710_1580860,oh .,oh .,b.%,b.%
Bmr026-c1_1586050_1586620,uhhuh .,mm-hmm .,b.%,b.%
Bmr026-c3_1586130_1587500,and um ==,and um ==,fh,fh
Bmr026-c3_1587620_1598490,so - so one - one compromise would be to - only to have the - everything up to the point where you generate lattices be basically one system .,so - so one - one compromise would be to - only to have the - everything up to the point where you generate lattices be basically one system .,s,s
Bmr026-c3_1598490_1602990,and then after that you rescore your lattices with the multiple systems .,and then after that you rescore your lattices with the multiple systems .,s,s
Bmr026-c3_1602990_1607450,and combine the results and that's a fairly painless um - thing .,and combine the results and that's a fairly painless um - thing .,s,s
Bmr026-c1_1604670_1605040,huh .,mmm .,b,b
Bmr026-c1_1607180_1607610,an- ==,an- ==,%-,%-
Bmr026-c5_1607760_1609970,do you think we'd still get the one and a half uh ?==,do you think we'd still get the one and a half uh ?==,qy^rt.%--,qy^rt.%--
Bmr026-c3_1608170_1608300,so ==,so ==,fh,fh
Bmr026-c3_1610060_1610840,i - i think so .,i - i think so .,s^aa,s^aa
Bmr026-c3_1611330_1611600,yeah .,yeah .,s^aa,s^aa
Bmr026-c3_1612060_1614750,maybe a little less because at that point the error rates are lower .,maybe a little less because at that point the error rates are lower .,s,s
Bmr026-c3_1614750_1615350,and so if ==,and so if ==,s.%--,s.%--
Bmr026-c5_1615630_1616160,uhhuh .,mm-hmm .,b,b
Bmr026-c3_1615730_1619080,you know maybe it's only one per cent or something but that would still be worthwhile doing .,you know maybe it's only one percent or something but that would still be worthwhile doing .,s,s
Bmr026-c3_1619830_1620190,so ==,so ==,fh,fh
Bmr026-c3_1621400_1625730,um - jus- - you know just wanted to let you know that that's working out very nicely .,um - jus- - you know just wanted to let you know that that's working out very nicely .,s,s
Bmr026-c0_1624560_1624740,cool .,cool .,s^ba,s^ba
Bmr026-c3_1627490_1633040,and then we had some results on digits uh - with um ==,and then we had some results on digits uh - with um ==,s^tc.%--,s^tc.%--
Bmr026-c3_1633250_1633700,we - we ==,we - we ==,%--,%--
Bmr026-c3_1634000_1641690,so this was uh - really - really sort of just to get dave going with his um - experiments .,so this was uh - really - really sort of just to get dave going with his um - experiments .,s,s
Bmr026-c1_1641790_1642160,uhhuh .,mm-hmm .,b,b
Bmr026-c3_1642100_1643780,and so uh ==,and so uh ==,s.%--,s.%--
Bmr026-c3_1643780_1650360,but as a result um - you know we were sort of wondering why is the hub five system doing so well on the digits .,but as a result um - you know we were sort of wondering why is the hub-five system doing so well on the digits .,s,s
Bmr026-c3_1650360_1654440,and the reason is basically there's a whole bunch of read speech data in the hub five training set .,and the reason is basically there's a whole bunch of read speech data in the hub-five training set .,s,s
Bmr026-c1_1650540_1650760,right .,right .,b,b
Bmr026-c0_1653130_1653410,right .,right .,b,b
Bmr026-c1_1654570_1656090,including digits i gather yeah .,including digits i gather yeah .,s,s
Bmr026-c3_1654910_1655370,and you c- ==,and you c- ==,s.%-,s.%-
Bmr026-c3_1655960_1656170,and ==,and ==,s.%-,s.%-
Bmr026-c3_1656230_1656670,not all of ==,not all of ==,s.%--,s.%--
Bmr026-c3_1656780_1660330,no it's actually - digits is only a maybe a fifth of it .,no it's actually - digits is only a maybe a fifth of it .,s^nd,s^nd
Bmr026-c3_1660600_1666760,the rest is - is read - is read timit data and uh - atis data and wall street journal and stuff like that .,the rest is - is read - is read timit data and uh - atis data and wall street journal and stuff like that .,s,s
Bmr026-c1_1660930_1662190,a fifth of it is how much ?,a fifth of it is how much ?,qw,qw
Bmr026-c1_1666330_1666610,right .,right .,fg,fg
Bmr026-c1_1666610_1668080,but a fi- - a fifth is how much ?,but a fi- - a fifth is how much ?,qw^r,qw^r
Bmr026-c3_1672960_1679730,a fifth would be maybe uh - two hours something .,a fifth would be maybe uh - two hours something .,s,s
Bmr026-c1_1679180_1682750,yeah so i mean that's actually not that different from the amount of training that there was .,yeah so i mean that's actually not that different from the amount of training that there was .,s,s
Bmr026-c3_1681320_1681610,right .,right .,b,b
Bmr026-c3_1682560_1684610,but it definitely helps to have the other read data in there .,but it definitely helps to have the other read data in there .,s,s
Bmr026-c1_1682750_1682960,so ==,so ==,fh,fh
Bmr026-c3_1685180_1686390,because we're doing ==,because we're doing ==,s.%--,s.%--
Bmr026-c1_1685310_1685570,oh yeah ?,oh yeah ?,qy^bh^d,qy^bh^d
Bmr026-c1_1685810_1686250,w- ==,w- ==,%-,%-
Bmr026-c3_1687210_1692130,you know the error rate is half of what you do if you train only on ti- - uh - timit - uh - not timit uh - t i digits .,you know the error rate is half of what you do if you train only on ti- - uh - timit - uh - not timit uh - t_i-digits .,s,s
Bmr026-c1_1692530_1693020,uhhuh .,mm-hmm .,b,b
Bmr026-c3_1692690_1693370,which is only what ?,which is only what ?,qw,qw
Bmr026-c3_1693370_1694610,two hours something ?,two hours something ?,qy^bu^rt,qy^bu^rt
Bmr026-c1_1694480_1694670,right .,right .,b,b
Bmr026-c0_1694990_1695370,i don't know .,i don't know .,s^no,s^no
Bmr026-c3_1695710_1699380,so - uh - more read speech data definitely helps .,so - uh - more read speech data definitely helps .,s,s
Bmr026-c3_1699380_1703300,and you can leave out all the conversational data with no performance penalty .,and you can leave out all the conversational data with no performance penalty .,s,s
Bmr026-c3_1703380_1704210,that's e- ==,that's e- ==,%-,%-
Bmr026-c1_1703390_1704570,yeah that was the interesting thing .,yeah that was the interesting thing .,s,s
Bmr026-c3_1704330_1704780,that was e- ==,that was e- ==,%-,%-
Bmr026-c1_1704570_1708640,because - because uh - it was apparent if you put in a bunch more data it would be better .,because - because uh - it was apparent if you put in a bunch more data it would be better .,s,s
Bmr026-c3_1704780_1705480,right right .,right right .,b,b
Bmr026-c1_1708640_1709500,but - but uh ==,but - but uh ==,fh,fh
Bmr026-c3_1709040_1709670,right .,right .,b,b
Bmr026-c5_1709140_1711370,well is there even more read speech data around ?,well is there even more read speech data around ?,qy^rt,qy^rt
Bmr026-c3_1711600_1711940,oh yeah .,oh yeah .,s^bk,s^bk
Bmr026-c3_1711940_1718310,so we only - for the hub five training we're only using uh - a fairly small subset of the macrophone data base .,so we only - for the hub-five training we're only using uh - a fairly small subset of the macrophone database .,s^na,s^na
Bmr026-c5_1717490_1717850,uhhuh .,mm-hmm .,s^bk,s^bk
Bmr026-c3_1718980_1722520,um - | so you could beef that up and probably do even better .,um - | so you could beef that up and probably do even better .,fh|s^cs,fh|s^cs
Bmr026-c0_1722440_1730980,i could also put in uh - focus condition zero from hub four from broadcast news which is mostly prepared speech .,i could also put in uh - focus condition zero from hub-four from broadcast news which is mostly prepared speech .,s^cs,s^cs
Bmr026-c5_1722580_1723020,uhhuh .,mm-hmm .,b.%,b.%
Bmr026-c0_1731700_1734200,it's not exactly read speech but it's pretty darn close .,it's not exactly read speech but it's pretty darn close .,s,s
Bmr026-c3_1731910_1732230,yeah .,yeah .,b,b
Bmr026-c3_1733300_1733620,yeah .,yeah .,b,b
Bmr026-c3_1734320_1734640,right .,right .,b,b
Bmr026-c3_1735420_1736840,well i mean that's plenty of read speech data .,well i mean that's plenty of read speech data .,s,s
Bmr026-c3_1736840_1739820,i mean wall street journal uh - take one example .,i mean wall street journal uh - take one example .,s,s
Bmr026-c0_1738060_1738270,yeah .,yeah .,b,b
Bmr026-c0_1738570_1739050,that's right .,that's right .,b,b
Bmr026-c3_1740610_1741640,but um ==,but um ==,%--,%--
Bmr026-c3_1742320_1749700,so you know that might be useful for the people who train the - the digit recognizers to - to use uh - something other than t i digits .,so you know that might be useful for the people who train the - the digit recognizers to - to use uh - something other than t_i-digits .,s,s
Bmr026-c0_1747710_1747960,yeah .,yeah .,b.%,b.%
Bmr026-c1_1750640_1751720,well they been using timit .,well they been using timit .,s,s
Bmr026-c3_1752280_1752550,okay .,o_k .,s^bk,s^bk
Bmr026-c1_1752920_1753160,that ==,that ==,s.%--,s.%--
Bmr026-c1_1753160_1761040,uh - they - they uh - they experimented for a while with a bunch of different data bases with french and spanish and so forth because they're multi lingual tests .,uh - they - they uh - they experimented for a while with a bunch of different databases with french and spanish and so forth cuz they're multilingual tests .,s,s
Bmr026-c3_1759210_1759850,uhhuh .,mm-hmm .,b,b
Bmr026-c1_1761220_1766450,and - and uh - um - and actually the best results they got wa- - were uh - using timit .,and - and uh - um - and actually the best results they got wa- - were uh - using timit .,s,s
Bmr026-c0_1767120_1767360,huh .,hmm .,b,b
Bmr026-c1_1767710_1771450,uh - but uh - which - so that's what they're - they're using now .,uh - but uh - which - so that's what they're - they're using now .,s,s
Bmr026-c3_1770360_1770950,huh .,mmm .,b,b
Bmr026-c1_1771450_1774600,but - but yeah certainly if we um ==,but - but yeah certainly if we um ==,s.%--,s.%--
Bmr026-c1_1775420_1778950,if we knew what the structure of what we're doing there was .,if we knew what the structure of what we're doing there was .,s,s
Bmr026-c1_1778950_1783370,i mean there's still a bunch of messing around with different kinds of uh - noise robustness algorithms .,i mean there's still a bunch of messing around with different kinds of uh - noise robustness algorithms .,s,s
Bmr026-c3_1779090_1779560,uhhuh .,mm-hmm .,b,b
Bmr026-c3_1783020_1783470,uhhuh .,mm-hmm .,b,b
Bmr026-c1_1783370_1786990,so we don't know exactly which combination we're going to be going with .,so we don't know exactly which combination we're gonna be going with .,s,s
Bmr026-c1_1787610_1793260,once we know then - the trainable parts of it - it'd be great to run lots of - lots of stuff through .,once we know then - the trainable parts of it - it'd be great to run lots of - lots of stuff through .,s,s
Bmr026-c3_1792340_1792870,uhhuh .,mm-hmm .,b,b
Bmr026-c3_1793570_1793750,right .,right .,b,b
Bmr026-c3_1795580_1796080,well that was that .,well that was that .,s^tc,s^tc
Bmr026-c3_1796080_1801810,and then i th- - guess chuck and i had some discussions about how to proceed with the tandem uh - system .,and then i th- - guess chuck and i had some discussions about how to proceed with the tandem uh - system .,s^tc,s^tc
Bmr026-c3_1801810_1805590,and you want to - you want to see where that stands ?,and you wanna - Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.out Bmr020.trans Bmr021.dadb Bmr021.out Bmr021.trans Bmr022.dadb Bmr022.out Bmr022.trans Bmr023.dadb Bmr023.out Bmr023.trans Bmr024.dadb Bmr024.out Bmr024.trans Bmr025.dadb Bmr025.out Bmr025.trans Bmr026.dadb Bmr026.out Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh you wanna see where that stands ?,qy^cs^d,qy^cs^d
Bmr026-c5_1804450_1805100,well i'm ==,well i'm ==,s.%-,s.%-
Bmr026-c5_1805470_1811070,yeah so andreas uh - brought over the uh - alignments that the s r i system uses .,yeah so andreas uh - brought over the uh - alignments that the s_r_i system uses .,s,s
Bmr026-c3_1805580_1805950,@reject@ .,{@reject@} .,b.%,b.%
Bmr026-c5_1811520_1821030,and so i'm in the process of um - converting those alignments into uh - label files that we can use to train uh - a new net with .,and so i'm in the process of um - converting those alignments into uh - label files that we can use to train uh - a new net with .,s,s
Bmr026-c5_1821630_1823210,and uh - so then i'll train the net .,and uh - so then i'll train the net .,s,s
Bmr026-c5_1823280_1823810,and ==,and ==,s.%-,s.%-
Bmr026-c3_1824220_1828550,an- - and one side effect of that would be that it's - um - that the phone set would change .,an- - and one side effect of that would be that it's - um - that the phone set would change .,s,s
Bmr026-c5_1828920_1829100,right .,right .,b,b
Bmr026-c3_1829170_1833710,so the m l p would be trained on i think only forty six or forty eight ==,so the m_l_p would be trained on i think only forty-six or forty-eight ==,s.%--,s.%--
Bmr026-c5_1833190_1833430,eight .,eight .,s^bc,s^bc
Bmr026-c3_1833710_1834410,forty eight phones .,forty-eight phones .,s^rt,s^rt
Bmr026-c5_1834250_1834580,uhhuh .,mm-hmm .,b,b
Bmr026-c3_1835590_1841660,uh - which is smaller than the um - than the phone set that - that we've been using so far .,uh - which is smaller than the um - than the phone set that - that we've been using so far .,s,s
Bmr026-c1_1842260_1842490,yeah .,yeah .,b,b
Bmr026-c3_1842510_1844630,and that - that - that will probably help actually .,and that - that - that will probably help actually .,s,s
Bmr026-c5_1842640_1843460,so it's a little different .,so it's a little different .,s,s
Bmr026-c3_1844630_1853350,because um - the fewer dimensions uh - e- - the less trouble probably with the - as far as just the um - um ==,because um - the fewer dimensions uh - e- - the less trouble probably with the - as far as just the um - um ==,s.%--,s.%--
Bmr026-c3_1854450_1854730,just ==,just ==,s.%--,s.%--
Bmr026-c3_1854730_1858120,you know we want to try things like deltas on the tandem features .,you know we want to try things like deltas on the tandem features .,s,s
Bmr026-c3_1858120_1861100,and so you h- - have to multiply everything by two or three .,and so you h- - have to multiply everything by two or three .,s,s
Bmr026-c3_1861100_1867450,and so you know fewer dimensions in the phone set would be actually helpful just from a logistics point of view .,and so you know fewer dimensions in the phone set would be actually helpful just from a logistics point of view .,s,s
Bmr026-c1_1867670_1867960,sure .,sure .,fg,fg
Bmr026-c1_1867960_1872540,although we - i mean it's not that many fewer and - and - and we take a k l t anyway so we could ==,although we - i mean it's not that many fewer and - and - and we take a k_l_t anyway so we could ==,s.%-,s.%-
Bmr026-c3_1870320_1870580,right .,right .,fg,fg
Bmr026-c3_1871860_1872300,exactly .,exactly .,fg,fg
Bmr026-c3_1872300_1873620,so - so that was the other thing .,so - so that was the other thing .,s,s
Bmr026-c1_1872640_1872870,yeah .,yeah .,b,b
Bmr026-c3_1873620_1882810,and then we wanted to s- - just limit it to maybe uh - something on the same order of dimensions as we use in a standard um - front end .,and then we wanted to s- - just limit it to maybe uh - something on the same order of dimensions as we use in a standard um - front-end .,s,s
Bmr026-c3_1882810_1889960,so that would mean just doing the top i don't know ten or twelve or something of the k l t dimensions .,so that would mean just doing the top i don't know ten or twelve or something of the k_l_t dimensions .,s,s
Bmr026-c1_1888770_1891750,yeah and i think - and we sh- - again check - we should check with stephane .,yeah and i think - and we sh- - again check - we should check with stephane .,s^cs,s^cs
