Bmr019-c4_0000363_0001383,okay | we're on .,o_k | we're on .,s^bk|s^t,s^bk|s^t
Bmr019-c5_2836490_2837090,uhhuh .,mm-hmm .,b,b
Bmr019-c1_2836580_2840010,i mean for the evaluations yes we'll run a version that hasn't been touched .,i mean for the evaluations yes we'll run a version that hasn't been touched .,s,s
Bmr019-c5_2838040_2838670,uhhuh .,mm-hmm .,b,b
Bmr019-c1_2840550_2845190,but uh one of the reasons i have him messing around with that because i think it's sort of an open question that we don't know the answer to .,but uh one of the reasons i have him messing around with that because i think it's sort of an open question that we don't know the answer to .,s,s
Bmr019-c1_2845190_2850640,people always say very glibly that i- - if you s- - show improvement on a bad system that doesn't mean anything .,people always say very glibly that i- - if you s- - show improvement on a bad system that doesn't mean anything .,s,s
Bmr019-c1_2850640_2854970,because it may not be show - uh because you know it doesn't tell you anything about the good system .,cuz it may not be show - uh because you know it doesn't tell you anything about the good system .,s^df,s^df
Bmr019-c5_2854570_2855190,uhhuh .,mm-hmm .,b,b
Bmr019-c1_2855370_2857950,and i - i've always sort of felt that that depends .,and i - i've always sort of felt that that depends .,s,s
Bmr019-c1_2858530_2863950,you know that if some peopl- - if you're actually are getting at something that has some conceptual substance to it it will port .,you know that if some peopl- - if you're actually are getting at something that has some conceptual substance to it it will port .,s,s
Bmr019-c5_2858670_2859230,uhhuh .,mm-hmm .,b,b
Bmr019-c1_2864330_2870770,and in fact most methods that people now use were originally tried with something that was not their absolute best system at some level .,and in fact most methods that people now use were originally tried with something that was not their absolute best system at some level .,s,s
Bmr019-c1_2871310_2873630,but of course sometimes it doesn't uh port .,but of course sometimes it doesn't uh port .,s,s
Bmr019-c1_2873630_2875300,so i think that's - that's an interesting question .,so i think that's - that's an interesting question .,s,s
Bmr019-c1_2875300_2895070,if we're getting three percent error on uh - u- - uh english uh nati- - native speakers um using the aurora system and we do some improvements and bring it from three to two do those same improvements bring uh th- - you know the s. r. i system from one point three to - you know to point eight ?==,if we're getting three percent error on uh - u- - uh english uh nati- - native speakers um using the aurora system and we do some improvements and bring it from three to two do those same improvements bring uh th- - you know the s_r_i system from one point three to - you know to point eight ?==,qo.%-,qo.%-
Bmr019-c5_2890420_2891210,huh .,hmm .,b,b
Bmr019-c5_2893510_2893990,uhhuh .,mm-hmm .,b.%,b.%
Bmr019-c4_2894090_2894350,zero .,zero .,s^2,s^2
Bmr019-c1_2895070_2895380,well ==,well ==,s.%--,s.%--
Bmr019-c5_2896250_2896680,huh .,mmm .,b,b
Bmr019-c1_2896490_2898200,you know so that's - that's something we can test .,you know so that's - that's something we can test .,s^rt,s^rt
Bmr019-c5_2898270_2898560,right .,right .,s^aa,s^aa
Bmr019-c1_2900190_2900570,so ==,so ==,fh,fh
Bmr019-c1_2900710_2901130,anyway ==,anyway ==,s.%--,s.%--
Bmr019-c5_2901080_2901390,okay .,o_k .,s^bk.%,s^bk.%
Bmr019-c1_2901610_2903840,i think we've - we've covered that one up extremely well .,i think we've - we've covered that one up extremely well .,s^tc,s^tc
Bmr019-c2_2901830_2902120,uhhuh .,mm-hmm .,b,b
Bmr019-c5_2906120_2906290,whew !,whew !,s^fe,s^fe
Bmr019-c1_2908540_2909140,okay .,o_k .,s^bk,s^bk
Bmr019-c1_2909750_2911200,so um ==,so um ==,fg,fg
Bmr019-c1_2912480_2912630,yeah .,yeah .,fh,fh
Bmr019-c1_2912630_2915370,so tha- - so we'll - you know maybe you guys will have - have one .,so tha- - so we'll - you know maybe you guys'll have - have one .,s,s
Bmr019-c1_2915370_2920200,uh you - you and uh - and dan have - have a paper that - that's going in .,uh you - you and uh - and dan have - have a paper that - that's going in .,s,s
Bmr019-c3_2919450_2919610,yeah .,yeah .,s^aa,s^aa
Bmr019-c3_2920320_2920450,yeah .,yeah .,b,b
Bmr019-c1_2920340_2923890,you know that's - that's pretty solid on the segmentation stuff .,you know that's - that's pretty solid on the segmentation stuff .,s,s
Bmr019-c3_2922810_2922980,yeah .,yeah .,b,b
Bmr019-c3_2923560_2925220,i will send you the - the final version .,i will send you the - the final version .,s,s
Bmr019-c1_2924790_2925170,yeah .,yeah .,b,b
Bmr019-c1_2925780_2929340,and the aurora folks here will - will definitely get something in on aurora .,and the aurora folks here will - will definitely get something in on aurora .,s,s
Bmr019-c3_2926040_2926420,which is not ==,which is not ==,s.%-,s.%-
Bmr019-c5_2928270_2931400,actually this - this um - so there's another paper .,actually this - this um - so there's another paper .,s,s
Bmr019-c1_2929340_2929610,so ==,so ==,fh,fh
Bmr019-c5_2931400_2933780,it's a eurospeech paper but not related to meetings .,it's a eurospeech paper but not related to meetings .,s,s
Bmr019-c5_2934240_2935090,but it's on digits .,but it's on digits .,s,s
Bmr019-c5_2935200_2937020,so um ==,so um ==,fh,fh
Bmr019-c5_2937650_2942060,uh a colleague at s. r. i developed a improved version of m. m. i. e training .,uh a colleague at s_r_i developed a improved version of m_m_i_e training .,s,s
Bmr019-c1_2942340_2942670,uhhuh .,uh-huh .,b,b
Bmr019-c5_2942850_2945350,and he tested it mostly on digits .,and he tested it mostly on digits .,s,s
Bmr019-c5_2945350_2948710,because it's sort of a - you know it doesn't take weeks to train it .,because it's sort of a - you know it doesn't take weeks to train it .,s^df,s^df
Bmr019-c1_2949130_2949370,right .,right .,b,b
Bmr019-c5_2949230_2949550,um ==,um ==,fh,fh
Bmr019-c5_2949990_2965000,and got some very impressive results um with you know discriminative uh gaussian training um you know like um error rates go from - i don't know in very noisy environment like from ==,and got some very impressive results um with you know discriminative uh gaussian training um you know like um error rates go from - i don't know in very noisy environment like from ==,s.%--,s.%--
Bmr019-c5_2965560_2967780,uh - uh ==,uh - uh ==,fh,fh
Bmr019-c5_2970150_2972180,i for- - now i - okay now i have the order of magnit- ==,i for- - now i - o_k now i have the order of magnit- ==,s.%--,s.%--
Bmr019-c5_2972180_2973400,i'm not sure about the order of magnitude .,i'm not sure about the order of magnitude .,s^no,s^no
Bmr019-c5_2973400_2980920,was it like from ten percent to eight percent or from e- - e- - you know point you know from one percent to point eight percent ?,was it like from ten percent to eight percent or from e- - e- - you know point you know from one percent to point eight percent ?,qr,qr
Bmr019-c1_2980260_2982130,h- - i- - it got - it got better .,h- - i- - it got - it got better .,s,s
Bmr019-c5_2981070_2981730,i mean it's a ==,i mean it's a ==,s.%-,s.%-
Bmr019-c5_2982230_2982660,it got better .,it got better .,s^bk^m,s^bk^m
Bmr019-c3_2982650_2982960,yeah .,yeah .,s^bk,s^bk
Bmr019-c5_2982660_2983570,that's the important thing .,that's the important thing .,s^ba,s^ba
Bmr019-c1_2982800_2983400,yeah yeah .,yeah yeah .,b,b
Bmr019-c5_2983570_2983820,yeah .,yeah .,s^bk,s^bk
Bmr019-c4_2983970_2985380,hey | that's the same percent relative .,hey | that's the same percent relative .,fg|s,fg|s
Bmr019-c5_2984480_2984780,but it's ==,but it's ==,s.%-,s.%-
Bmr019-c4_2985380_2985810,so ==,so ==,fh,fh
Bmr019-c5_2985380_2986150,yeah right .,yeah right .,s^aa,s^aa
Bmr019-c1_2986000_2986240,yeah .,yeah .,s^aa,s^aa
Bmr019-c5_2986150_2987030,it's uh something in ==,it's uh something in ==,s.%--,s.%--
Bmr019-c1_2987290_2987620,yeah .,yeah .,b,b
Bmr019-c5_2987570_2987740,right .,right .,s^bk,s^bk
Bmr019-c4_2987650_2988960,twenty percent relative gain .,twenty percent relative gain .,s,s
Bmr019-c5_2988850_2989120,yeah .,yeah .,b,b
Bmr019-c1_2989250_2989600,yeah .,yeah .,s^bk,s^bk
Bmr019-c1_2990170_2990410,yeah .,yeah .,s^bk,s^bk
Bmr019-c1_2992060_2993050,um | let's see .,um | let's see .,fg|s^tc,fg|s^tc
Bmr019-c1_2993050_2995600,i think the only thing we had left was - unless somebody else ==,i think the only thing we had left was - unless somebody else ==,s^t^tc.%--,s^t^tc.%--
Bmr019-c1_2995650_2997050,well there's a couple things .,well there's a couple things .,s,s
Bmr019-c1_2997230_3002410,uh one is anything that um anybody has to say about saturday ?,uh one is anything that um anybody has to say about saturday ?,qo,qo
Bmr019-c1_3002410_3004160,anything we should do in prep for saturday ?,anything we should do in prep for saturday ?,qo^e^rt,qo^e^rt
Bmr019-c1_3005220_3005900,um ==,um ==,fh,fh
Bmr019-c1_3007260_3008390,i guess everybody knows about ==,i guess everybody knows about ==,s.%--,s.%--
Bmr019-c1_3008740_3012970,i mean u- - um mari was asking - was trying to come up with something like an agenda .,i mean u- - um mari was asking - was trying to come up with something like an agenda .,s^df,s^df
Bmr019-c1_3012970_3015390,and we're sort of fitting around people's times a bit .,and we're sort of fitting around people's times a bit .,s,s
Bmr019-c1_3015610_3020730,but um clearly when we actually get here we'll move things around this as we need to .,but um clearly when we actually get here we'll move things around this as we need to .,s,s
Bmr019-c1_3020930_3021140,but ==,but ==,fh,fh
Bmr019-c3_3021450_3021750,okay .,o_k .,s^bk,s^bk
Bmr019-c1_3021790_3023170,so you can't absolutely count on it .,so you can't absolutely count on it .,s,s
Bmr019-c3_3023260_3023500,yeah .,yeah .,b,b
Bmr019-c1_3023320_3024310,but - but uh ==,but - but uh ==,fh,fh
Bmr019-c0_3024530_3026030,are we meeting in here probably ?,are we meeting in here probably ?,qy^rt,qy^rt
Bmr019-c0_3026070_3026230,or ?==,or ?==,qrr.%--,qrr.%--
Bmr019-c1_3026070_3026300,yeah .,yeah .,s^aa,s^aa
Bmr019-c0_3026530_3026690,okay .,o_k .,s^bk,s^bk
Bmr019-c1_3026920_3027600,that was my thought .,that was my thought .,s^e,s^e
Bmr019-c1_3027600_3028480,i think this is ==,i think this is ==,s.%-,s.%-
Bmr019-c5_3027850_3028660,are we recording it ?,are we recording it ?,qy^rt,qy^rt
Bmr019-c0_3027920_3028090,yeah .,yeah .,b,b
Bmr019-c1_3028940_3029810,@@ .,{@@} .,%,%
Bmr019-c0_3029200_3030500,we won't have enough microphones .,we won't have enough microphones .,s^df^ng,s^df^ng
Bmr019-c1_3030530_3030620,u- ==,u- ==,%--,%--
Bmr019-c1_3030710_3032230,no | i - i hadn't in- - intended to .,no | i - i hadn't in- - intended to .,s^ar|s^nd,s^ar|s^nd
Bmr019-c0_3030750_3030990,but ==,but ==,fh,fh
Bmr019-c0_3032120_3032670,there's no way .,there's no way .,s^nd,s^nd
Bmr019-c5_3032140_3032440,okay .,o_k .,s^bk,s^bk
Bmr019-c1_3032230_3036740,we won- - we want to - i mean they're - there's going to be uh jeff katrin mari and two students .,we won- - we wanna - i mean they're - there's gonna be uh jeff katrin mari and two students .,s,s
Bmr019-c1_3036740_3038410,so there's five from there .,so there's five from there .,s,s
Bmr019-c4_3037920_3038390,and brian .,and brian .,s^2,s^2
Bmr019-c5_3039010_3039590,but you know th- ==,but you know th- ==,s.%-,s.%-
Bmr019-c1_3039290_3040060,and brian's coming .,and brian's coming .,s^m^na,s^m^na
Bmr019-c1_3040060_3040970,so that's six .,so that's six .,s^rt,s^rt
Bmr019-c5_3040780_3042070,uhhuh .,mm-hmm .,b,b
Bmr019-c4_3041210_3042090,and plus all of us .,and plus all of us .,s,s
Bmr019-c5_3042230_3043320,can use the oprah mike .,can use the oprah mike .,s^cs,s^cs
Bmr019-c1_3042260_3043580,uh ==,uh ==,fh,fh
Bmr019-c0_3045760_3048010,depends how fast you can throw it .,depends how fast you can throw it .,s^j,s^j
Bmr019-c4_3046970_3049040,it seems like too many - too much coming and going .,it seems like too many - too much coming and going .,s,s
Bmr019-c0_3048090_3048640,it's just ==,it's just ==,s.%-,s.%-
Bmr019-c5_3048990_3049560,uhhuh .,mm-hmm .,b,b
Bmr019-c0_3049440_3049810,yeah .,yeah .,s^aa,s^aa
Bmr019-c1_3050310_3050580,well ==,well ==,%-,%-
Bmr019-c0_3050520_3051960,we don't even have enough channel ==,we don't even have enough channel ==,s.%-,s.%-
Bmr019-c5_3051060_3052690,because it would be a different kind of meeting .,because it would be a different kind of meeting .,s^df,s^df
Bmr019-c3_3052550_3052760,yeah .,yeah .,s^bk,s^bk
Bmr019-c5_3052690_3053310,that's what i'm ==,that's what i'm ==,s.%-,s.%-
Bmr019-ca_3053820_3054060,yeah .,yeah .,b,b
Bmr019-c1_3054040_3054330,well ==,well ==,%-,%-
Bmr019-c5_3054280_3054480,but ==,but ==,fh,fh
Bmr019-c1_3054890_3056950,i hadn't really thought of it .,i hadn't really thought of it .,s^no,s^no
Bmr019-c5_3056190_3057850,maybe just - maybe not the whole day .,maybe just - maybe not the whole day .,s^cs,s^cs
Bmr019-c1_3056950_3057130,but ==,but ==,%-,%-
Bmr019-c5_3057850_3059550,but just you know maybe some - i mean ==,but just you know maybe some - i mean ==,s^cs^e.%--,s^cs^e.%--
Bmr019-c1_3058410_3059220,maybe part of it .,maybe part of it .,s^cs,s^cs
Bmr019-c5_3059550_3060060,part of it ?,part of it ?,qw^br^rt,qw^br^rt
Bmr019-c1_3061050_3061750,maybe part of it .,maybe part of it .,s^cs^r,s^cs^r
Bmr019-c4_3061650_3062910,make everyone read digits .,make everyone read digits .,s^cs,s^cs
Bmr019-c1_3064010_3064700,at the same time .,at the same time .,s^2,s^2
Bmr019-c4_3064600_3065270,at the same time .,at the same time .,s^m^na,s^m^na
Bmr019-c5_3064710_3065090,please .,please .,s^ng,s^ng
Bmr019-c0_3064960_3065860,at the same time .,at the same time .,s^m,s^m
Bmr019-ca_3065060_3066410,@@ .,{@@} .,%,%
Bmr019-c1_3066510_3066740,yeah .,yeah .,s^aa,s^aa
Bmr019-c0_3068010_3068270,we c- ==,we c- ==,%-,%-
Bmr019-c1_3068230_3068700,i don't know .,i don't know .,s^no,s^no
Bmr019-c1_3069010_3069320,any- ==,any- ==,%-,%-
Bmr019-c0_3069030_3070620,that's their initiation into our ==,that's their initiation into our ==,s^j.%-,s^j.%-
Bmr019-c4_3071090_3072100,into our - our - our cult .,into our - our - our cult .,s^2^bu^rt,s^2^bu^rt
Bmr019-c0_3071490_3071580,w- ==,w- ==,%-,%-
Bmr019-c0_3071880_3072830,yeah | our - yeah our ==,yeah | our - yeah our ==,s^aa|%-,s^aa|%-
Bmr019-c5_3072950_3077500,maybe the sections that are not right afte- - you know after lunch when everybody's still munching .,maybe the sections that are not right afte- - you know after lunch when everybody's still munching .,s^cs,s^cs
Bmr019-c5_3077500_3077620,and ==,and ==,fh,fh
Bmr019-c1_3080290_3080620,okay .,o_k .,s^bk,s^bk
Bmr019-c0_3080570_3083190,so can you send out a schedule once you know it jus- ?==,so can you send out a schedule once you know it jus- ?==,qy.%-,qy.%-
Bmr019-c1_3080620_3080970,well ==,well ==,fg,fg
Bmr019-c1_3083560_3085570,okay yeah | i guess i sent it around a little bit .,o_k yeah | i guess i sent it around a little bit .,s^bk|s,s^bk|s
Bmr019-c0_3083820_3084760,is - is there a r- ?==,is - is there a r- ?==,qy.%-,qy.%-
Bmr019-c0_3084760_3085340,there's a res- ==,there's a res- ==,s.%-,s.%-
Bmr019-c1_3085800_3086090,but ==,but ==,fh,fh
Bmr019-c0_3085840_3087540,is it changed now or ?==,is it changed now or ?==,qrr.%--,qrr.%--
Bmr019-c1_3087550_3093100,i hadn't heard back from mari after i - i u- - u- - uh brought up the point abou- - about andreas's schedule .,i hadn't heard back from mari after i - i u- - u- - uh brought up the point abou- - about andreas's schedule .,s,s
Bmr019-c1_3093100_3097650,so um maybe when i get back there'll be some - some mail from her .,so um maybe when i get back there'll be some - some mail from her .,s,s
Bmr019-c0_3096090_3096480,okay .,o_k .,s^bk,s^bk
Bmr019-c1_3099580_3100340,so i'll make a ==,so i'll make a ==,s.%-,s.%-
Bmr019-c2_3099600_3101150,i'm looking forward to seeing your representation .,i'm looking forward to seeing your representation .,s,s
Bmr019-c2_3101430_3101940,that'd be uh ==,that'd be uh ==,s.%-,s.%-
Bmr019-c0_3102000_3104120,and w- - we should get the two meetings from y- ==,and w- - we should get the two meetings from y- ==,s.%--,s.%--
Bmr019-c2_3102410_3102970,i'd like to see that .,i'd like to see that .,s,s
Bmr019-c2_3103510_3103600,yeah .,yeah .,b,b
Bmr019-c0_3104120_3105680,i mean i know about the first meeting .,i mean i know about the first meeting .,s,s
Bmr019-c0_3105840_3106180,um ==,um ==,fh,fh
Bmr019-c0_3106620_3107940,but the other one that you did .,but the other one that you did .,s,s
Bmr019-c0_3107990_3108880,the n. s. a one .,the n_s_a one .,s^e,s^e
Bmr019-c0_3108880_3111870,which we hadn't done because we weren't running recognition on it .,which we hadn't done cuz we weren't running recognition on it .,s,s
Bmr019-c2_3111970_3112310,uhhuh .,mm-hmm .,b,b
Bmr019-c0_3112000_3113490,because the non native speaker ==,because the non-native speaker ==,s^df.%--,s^df.%--
Bmr019-c0_3113680_3114990,there were five non native speakers .,there were five non-native speakers .,s^df^e,s^df^e
Bmr019-c2_3113740_3113980,uhhuh .,mm-hmm .,b,b
Bmr019-c2_3114270_3114600,i see .,i see .,s^bk,s^bk
Bmr019-c2_3114850_3115050,uhhuh .,mm-hmm .,b,b
Bmr019-c0_3115650_3120090,but it would be useful for the - to see what we get with that one .,but it would be useful for the - to see what we get with that one .,s,s
Bmr019-c2_3120040_3120360,great .,great .,s^ba,s^ba
Bmr019-c0_3120210_3120400,so ==,so ==,fh,fh
Bmr019-c2_3120480_3120730,okay .,o_k .,s^bk,s^bk
Bmr019-c2_3121410_3123550,it's uh two thousand eleven twenty one one thousand ?,it's uh two thousand eleven twenty-one one thousand ?,qy^d^rt,qy^d^rt
Bmr019-c0_3125990_3126650,yeah | three .,yeah | three .,s^aa|s,s^aa|s
Bmr019-c0_3126910_3127320,right .,right .,s^aa,s^aa
Bmr019-c0_3127320_3127830,so ==,so ==,fh,fh
Bmr019-c2_3127680_3127950,great .,great .,s^ba,s^ba
Bmr019-c2_3127950_3130050,i sent email when i finished the - that one .,i sent email when i finished the - that one .,s,s
Bmr019-c0_3130120_3131190,n. s. a three i think .,n_s_a three i think .,s,s
Bmr019-c2_3130120_3130780,that was sort of son- ==,that was sort of son- ==,s.%-,s.%-
Bmr019-c2_3132170_3133320,yeah | that's right that's right .,yeah | that's right that's right .,s^aa|s^na,s^aa|s^na
Bmr019-c2_3133320_3133990,that's much simpler .,that's much simpler .,s^ba,s^ba
Bmr019-c0_3134060_3134790,i don't know what they said .,i don't know what they said .,s^no,s^no
Bmr019-c0_3134790_3135440,but i know the number .,but i know the number .,s^df,s^df
Bmr019-c1_3135710_3138380,th- - that part's definitely going to confuse somebody who looks at these later .,th- - that part's definitely gonna confuse somebody who looks at these later .,s,s
Bmr019-c5_3136540_3136730,right .,right .,b,b
Bmr019-c5_3138270_3138530,um ==,um ==,fh,fh
Bmr019-c1_3138380_3140840,i mean this is - we- - we're recording secret n. s. a meetings .,i mean this is - we- - we're recording secret n_s_a meetings .,s^df,s^df
Bmr019-c5_3139270_3139790,not the ==,not the ==,%-,%-
Bmr019-c1_3140840_3141610,i mean it's ==,i mean it's ==,s.%-,s.%-
Bmr019-c5_3141410_3141940,yeah .,yeah .,b,b
Bmr019-c5_3143460_3143840,uh ==,uh ==,fh,fh
Bmr019-c2_3143840_3145010,yeah not that n. s. a .,yeah not that n_s_a .,s^nd,s^nd
Bmr019-c5_3144410_3145590,the - th- - the ==,the - th- - the ==,%-,%-
Bmr019-c1_3144760_3147140,it's network services and applications .,it's network services and applications .,s,s
Bmr019-c0_3145150_3147060,they are hard to understand .,they are hard to understand .,s^na,s^na
Bmr019-c5_3146760_3147060,wait .,wait .,s^co,s^co
Bmr019-c0_3147470_3149200,they're very uh out there .,they're very uh out there .,s^e^na,s^e^na
Bmr019-c5_3147570_3147930,the ==,the ==,%-,%-
Bmr019-c0_3149200_3150920,i have no idea what they're talking about .,i have no idea what they're talking about .,s^no,s^no
Bmr019-c5_3150850_3151960,the um ==,the um ==,fg,fg
Bmr019-c1_3150990_3151510,yeah .,yeah .,b,b
Bmr019-c5_3152840_3157620,th- - the other good thing about the alignments is that um it's not always the machine's fault if it doesn't work .,th- - the other good thing about the alignments is that um it's not always the machine's fault if it doesn't work .,s^rt,s^rt
Bmr019-c5_3157680_3160090,so you can actually find um ==,so you can actually find um ==,s.%-,s.%-
Bmr019-c0_3159930_3160770,it's the person's fault .,it's the person's fault .,s^j,s^j
Bmr019-c5_3160470_3162220,problem - uh proble- ==,problem - uh proble- ==,s.%-,s.%-
Bmr019-c0_3161660_3162760,it's morgan's fault .,it's morgan's fault .,s^j,s^j
Bmr019-c5_3162830_3163490,you can find ==,you can find ==,s.%-,s.%-
Bmr019-c5_3164580_3167370,you can find uh problems with - with the transcripts .,you can find uh problems with - with the transcripts .,s,s
Bmr019-c1_3164790_3165730,it's always morgan's fault .,it's always morgan's fault .,s^j^na^t3,s^j^na^t3
Bmr019-c5_3167650_3168980,um you know ==,um you know ==,fh,fh
Bmr019-c4_3168640_3168870,oh .,oh .,s^bk,s^bk
Bmr019-c5_3169670_3170730,and go back and fix them .,and go back and fix them .,s,s
Bmr019-c0_3169900_3170380,yeah .,yeah .,s^aa,s^aa
Bmr019-c5_3171010_3171120,but ==,but ==,fh,fh
Bmr019-c0_3171040_3180630,tha- - there are some cases like where the - the wrong speaker - uh these ca- - not a lot but where the - the wrong person - the - the speech is addre- - attached to the wrong speaker .,tha- - there are some cases like where the - the wrong speaker - uh these ca- - not a lot but where the - the wrong person - the - the speech is addre- - attached to the wrong speaker .,s,s
Bmr019-c0_3180620_3182040,and you can tell that when you run it .,and you can tell that when you run it .,s,s
Bmr019-c0_3182750_3184680,or at least you can get clues to it .,or at least you can get clues to it .,s,s
Bmr019-c2_3182850_3183210,interesting .,interesting .,b,b
Bmr019-c2_3184750_3185580,i guess it does w- ==,i guess it does w- ==,s.%-,s.%-
Bmr019-c0_3184790_3189120,so these are from the early transcriptions that people did on the mixed signals like what you have .,so these are from the early transcriptions that people did on the mixed signals like what you have .,s,s
Bmr019-c2_3186920_3187150,uhhuh .,mm-hmm .,b,b
Bmr019-c2_3188370_3195950,it also raises the possibility of um using that kind of representation - i mean i don't know this would be something we'd want to check but maybe using that representation for data entry .,it also raises the possibility of um using that kind of representation - i mean i don't know this'd be something we'd wanna check but maybe using that representation for data entry .,s^cs,s^cs
Bmr019-c2_3195950_3198510,and then displaying it on the channelized uh representation .,and then displaying it on the channelized uh representation .,s^cs^e,s^cs^e
Bmr019-c2_3198510_3205690,because it - i think that the - i mean my - my preference in terms of like looking at the data is to see it in this kind of musical score format .,cuz it - i think that the - i mean my - my preference in terms of like looking at the data is to see it in this kind of musical score format .,s^df,s^df
Bmr019-c0_3206180_3206490,uhhuh .,mm-hmm .,b,b
Bmr019-c2_3206270_3208590,and also s- - you know sue's preference as well .,and also s- - you know sue's preference as well .,s,s
Bmr019-c0_3208770_3210070,yeah | if you can get it to ==,yeah | if you can get it to ==,s^aa|s.%-,s^aa|s.%-
Bmr019-c2_3209030_3209650,and - and ==,and - and ==,fh,fh
Bmr019-c2_3209920_3217360,but | i mean this - if this is a better interface for making these kinds of uh you know lo- - clos- - local changes then that'd be fine too .,but | i mean this - if this is a better interface for making these kinds of uh you know lo- - clos- - local changes then that'd be fine too .,fg|s,fg|s
Bmr019-c2_3217420_3218330,i don't - i have no idea .,i don't - i have no idea .,s^no,s^no
Bmr019-c2_3218330_3219910,i think this is something that would need to be checked .,i think this is something that would need to be checked .,s,s
Bmr019-c2_3221930_3222180,yeah .,yeah .,s^bk,s^bk
Bmr019-c1_3222550_3222750,okay .,o_k .,s^bk,s^bk
Bmr019-c1_3222750_3224660,th- - the other thing i had actually was ==,th- - the other thing i had actually was ==,s.%--,s.%--
Bmr019-c1_3224660_3226720,i - i didn't realize this till today .,i - i didn't realize this till today .,s^df,s^df
Bmr019-c1_3227670_3229710,but uh this is uh jose's last day .,but uh this is uh jose's last day .,s^rt,s^rt
Bmr019-ca_3229830_3230840,is my last - my last day .,is my last - my last day .,s^na,s^na
Bmr019-c4_3229940_3230330,yeah .,yeah .,s^aa,s^aa
Bmr019-c0_3230570_3231250,oh !,oh !,s^fe,s^fe
Bmr019-c5_3231030_3231460,oh !,oh !,s^fe,s^fe
Bmr019-c2_3231190_3231550,oh !,oh !,s^fe,s^fe
Bmr019-ca_3231250_3233670,my - my last meeting about meetings .,my - my last meeting about meetings .,s,s
Bmr019-c4_3231720_3232600,you're not going to be here tomorrow ?,you're not gonna be here tomorrow ?,qy^bu^d^rt,qy^bu^d^rt
Bmr019-c4_3233820_3234240,oh that's right .,oh that's right .,s^bk,s^bk
Bmr019-ca_3234190_3234560,yeah .,yeah .,s^bk,s^bk
Bmr019-c4_3234240_3234680,tomorrow ==,tomorrow ==,%-,%-
Bmr019-ca_3234650_3237150,because uh i leave uh the next sunday .,because eh i leave eh the next sunday .,s^df,s^df
Bmr019-c3_3235120_3236080,the last meeting meeting ?,the last meeting meeting ?,qy^bu^d^rt,qy^bu^d^rt
Bmr019-c4_3236450_3236780,it's off .,it's off .,s,s
Bmr019-ca_3237510_3239210,i will come back to home - to spain .,i will come back to home - to spain .,s,s
Bmr019-c5_3237670_3238370,uhhuh .,mm-hmm .,b,b
Bmr019-c0_3238030_3238430,oh .,oh .,s^bk,s^bk
Bmr019-c1_3239460_3239810,yeah .,yeah .,s^aa,s^aa
Bmr019-c1_3239810_3241230,i d- - so i - i jus- ==,i d- - so i - i jus- ==,s.%-,s.%-
Bmr019-c5_3239980_3240150,uhhuh .,mm-hmm .,b,b
Bmr019-ca_3240100_3247140,and i - i would like to - to - to say thank you very much uh to all people in the group and at icsi .,and i - i would like to - to - to say thank you very much eh to all people in the group and at icsi .,s^ft,s^ft
Bmr019-c0_3240300_3240530,oh .,oh .,b,b
Bmr019-c5_3244040_3244360,uhhuh .,mm-hmm .,b,b
Bmr019-c4_3245570_3245680,yeah .,yeah .,b,b
Bmr019-c4_3245680_3246510,it was good having you .,it was good having you .,s^ba,s^ba
Bmr019-c5_3245770_3246520,huh .,mmm .,b,b
Bmr019-c0_3246810_3247210,yeah .,yeah .,s^aa,s^aa
Bmr019-ca_3247470_3250020,because i - i enjoyed @@ very much .,because i - i enjoyed @@ very much .,s^df,s^df
Bmr019-c5_3248790_3249840,huh .,mmm .,b,b
Bmr019-ca_3250020_3250300,uh ==,uh ==,fh,fh
Bmr019-ca_3250820_3253350,and i'm sorry by the result of overlapping .,and i'm sorry by the result of overlapping .,s^fa,s^fa
Bmr019-ca_3253860_3257310,because uh i haven't good results uh yet .,because eh i haven't good results eh yet .,s^df,s^df
Bmr019-ca_3257310_3265550,but uh - i - i pretend to - to continuing out to spain uh - during the - the following months .,but eh - i - i pretend to - to continuing out to spain eh - during the - the following months .,s,s
Bmr019-ca_3265550_3268860,uh because i have uh another ideas .,eh because i have eh another ideas .,s,s
Bmr019-c1_3265830_3266160,uhhuh .,uh-huh .,b,b
Bmr019-ca_3268930_3275570,but uh i haven't enough time to - to - with six months it's not enough to - to - to research .,but eh i haven't enough time to - to - with six months it's not enough to - to - to research .,s,s
Bmr019-c4_3273490_3273810,yep .,yep .,s^aa,s^aa
Bmr019-c1_3274010_3274340,yeah .,yeah .,s^aa,s^aa
Bmr019-ca_3275670_3279960,and e- - i- - i mean if uh the topic is uh so difficult .,<eh> and e- - i- - i mean if eh the topic is eh so difficult .,s,s
Bmr019-ca_3279960_3282650,uh in my opinion there isn't ==,uh in my opinion there isn't ==,s.%-,s.%-
Bmr019-c1_3282150_3286020,yeah | maybe somebody else will come along and will be uh interested in working on it .,yeah | maybe somebody else will come along and will be uh interested in working on it .,fg|s,fg|s
Bmr019-c1_3286020_3288620,and could start off from where you are also you know .,and could start off from where you are also you know .,s,s
Bmr019-c1_3288850_3291030,they'd make use of - of what you've done .,they'd make use of - of what you've done .,s^rt,s^rt
Bmr019-ca_3288930_3289250,yeah .,yeah .,b,b
Bmr019-ca_3291760_3292020,yeah .,yeah .,b,b
